rank,count,balls,strikes,outs,outs_label,base_state,base_state_label,current_expected_runs,re_if_strike,re_if_ball,challenge_value,tier,recommendation,sample_size
1,3-2,3,2,1,1 Out,111,Bases Loaded,1.7449392712550609,0.7524446731857951,2.598494353826851,1.8460496806410558,Must Challenge,Challenge if the call is remotely uncertain,247
2,3-2,3,2,0,0 Outs,111,Bases Loaded,2.2777777777777777,1.5984943538268508,3.428763440860215,1.8302690870333642,Must Challenge,Challenge if the call is remotely uncertain,90
3,3-2,3,2,2,2 Outs,111,Bases Loaded,0.8882978723404256,0.0,1.7524446731857952,1.7524446731857952,Must Challenge,Challenge if the call is remotely uncertain,376
4,3-2,3,2,0,0 Outs,110,Runners on 1st & 2nd,1.8057553956834531,0.9572794899043572,2.428763440860215,1.4714839509558577,Must Challenge,Challenge if the call is remotely uncertain,417
5,3-2,3,2,0,0 Outs,101,Runners on 1st & 3rd,1.7936507936507935,1.215609756097561,2.428763440860215,1.213153684762654,Strong Challenge,Strong challenge opportunity,126
6,3-1,3,1,0,0 Outs,111,Bases Loaded,2.9444444444444446,2.2777777777777777,3.428763440860215,1.1509856630824373,Strong Challenge,Strong challenge opportunity,54
7,3-2,3,2,1,1 Out,110,Runners on 1st & 2nd,1.0495552731893265,0.4585734870317003,1.5984943538268508,1.1399208667951504,Strong Challenge,Strong challenge opportunity,787
8,3-2,3,2,1,1 Out,101,Runners on 1st & 3rd,0.9305555555555556,0.4806763285024155,1.5984943538268508,1.1178180253244352,Strong Challenge,Strong challenge opportunity,288
9,2-1,2,1,0,0 Outs,111,Bases Loaded,2.5327868852459017,1.8901734104046244,2.9444444444444446,1.0542710340398203,Strong Challenge,Strong challenge opportunity,122
10,3-2,3,2,0,0 Outs,100,Runner on 1st,1.0274485339987522,0.5191592685332727,1.571897810218978,1.0527385416857054,Strong Challenge,Strong challenge opportunity,1603
11,3-2,3,2,0,0 Outs,011,Runners on 2nd & 3rd,1.9411764705882355,1.395849346656418,2.428763440860215,1.032914094203797,Strong Challenge,Strong challenge opportunity,136
12,2-2,2,2,1,1 Out,111,Bases Loaded,1.4934782608695651,0.7524446731857951,1.7449392712550609,0.9924945980692658,Strong Challenge,Strong challenge opportunity,460
13,3-2,3,2,1,1 Out,011,Runners on 2nd & 3rd,1.4766355140186915,0.6256263421617753,1.5984943538268508,0.9728680116650755,Strong Challenge,Strong challenge opportunity,321
14,3-2,3,2,0,0 Outs,001,Runner on 3rd,1.3214285714285714,0.8974358974358975,1.8223185265438784,0.9248826291079809,Strong Challenge,Strong challenge opportunity,112
15,3-2,3,2,0,0 Outs,010,Runner on 2nd,1.2188328912466844,0.6580310880829016,1.571897810218978,0.9138667221360764,Strong Challenge,Strong challenge opportunity,754
16,2-2,2,2,2,2 Outs,111,Bases Loaded,0.7282958199356914,0.0,0.8882978723404256,0.8882978723404256,Strong Challenge,Strong challenge opportunity,622
17,3-2,3,2,1,1 Out,001,Runner on 3rd,0.9159891598915988,0.3375162267416702,1.215609756097561,0.8780935293558907,Strong Challenge,Strong challenge opportunity,369
18,3-1,3,1,2,2 Outs,111,Bases Loaded,1.04,0.8882978723404256,1.7524446731857952,0.8641468008453697,Strong Challenge,Strong challenge opportunity,150
19,3-1,3,1,1,1 Out,111,Bases Loaded,1.831683168316832,1.7449392712550609,2.598494353826851,0.8535550825717901,Strong Challenge,Strong challenge opportunity,101
