balls,strikes,outs_when_up,base_state,expected_runs,sample_size
0,0,0,000,0.49728683894498066,44966
0,0,0,001,1.263157894736842,285
0,0,0,010,1.1188348229063223,3021
0,0,0,011,1.998165137614679,545
0,0,0,100,0.8872843210802701,10664
0,0,0,101,1.8223185265438786,923
0,0,0,110,1.571897810218978,2740
0,0,0,111,2.428763440860215,744
0,0,1,000,0.26584410017757637,32662
0,0,1,001,0.8974358974358975,1365
0,0,1,010,0.6580310880829016,4439
0,0,1,011,1.3958493466564181,1301
0,0,1,100,0.5191592685332727,13179
0,0,1,101,1.215609756097561,2050
0,0,1,110,0.9572794899043571,4705
0,0,1,111,1.5984943538268508,1594
0,0,2,000,0.10292249047013977,25971
0,0,2,001,0.33751622674167026,2311
0,0,2,010,0.3233202986135798,5626
0,0,2,011,0.6256263421617753,1397
0,0,2,100,0.22650673338729854,13589
0,0,2,101,0.4806763285024155,2898
0,0,2,110,0.4585734870317003,5552
0,0,2,111,0.7524446731857951,1943
0,1,0,000,0.46288527397260276,23360
0,1,0,001,1.236842105263158,152
0,1,0,010,1.044338335607094,1466
0,1,0,011,1.8740458015267176,262
0,1,0,100,0.7998440849736893,5131
0,1,0,101,1.6706443914081146,419
0,1,0,110,1.4306451612903226,1240
0,1,0,111,2.160458452722063,349
0,1,1,000,0.23850625330280079,17031
0,1,1,001,0.8452012383900929,646
0,1,1,010,0.5860957642725598,2172
0,1,1,011,1.3424878836833603,619
0,1,1,100,0.4689934559052664,6418
0,1,1,101,1.12012012012012,999
0,1,1,110,0.847114556416882,2322
0,1,1,111,1.4689922480620154,774
0,1,2,000,0.0894497125363996,13393
0,1,2,001,0.2828193832599119,1135
0,1,2,010,0.293408929836995,2822
0,1,2,011,0.5619335347432024,662
0,1,2,100,0.17779144878498923,6502
0,1,2,101,0.4251101321585903,1362
0,1,2,110,0.37206703910614525,2685
0,1,2,111,0.5993657505285412,946
0,2,0,000,0.4037546933667084,11985
0,2,0,001,1.013157894736842,76
0,2,0,010,0.9503267973856209,765
0,2,0,011,1.5974842767295598,159
0,2,0,100,0.7186477644492911,2751
0,2,0,101,1.4956521739130435,230
0,2,0,110,1.337442218798151,649
0,2,0,111,1.9150943396226414,212
0,2,1,000,0.20043448433569633,8746
0,2,1,001,0.7197802197802198,364
0,2,1,010,0.5043103448275862,1160
0,2,1,011,1.2317708333333333,384
0,2,1,100,0.40903503380454825,3254
0,2,1,101,1.0776699029126213,515
0,2,1,110,0.7183333333333334,1200
0,2,1,111,1.2470588235294118,425
0,2,2,000,0.059917648729234704,7043
0,2,2,001,0.21477663230240548,582
0,2,2,010,0.20543406229290923,1509
0,2,2,011,0.47580645161290325,372
0,2,2,100,0.13136486893642663,3319
0,2,2,101,0.3198707592891761,619
0,2,2,110,0.26937002172338886,1381
0,2,2,111,0.5495327102803739,535
1,0,0,000,0.5299366897799216,16585
1,0,0,001,1.28099173553719,121
1,0,0,010,1.1729857819905214,1266
1,0,0,011,2.052,250
1,0,0,100,0.9669336088865926,3871
1,0,0,101,1.9166666666666667,324
1,0,0,110,1.7115384615384615,1040
1,0,0,111,2.6214285714285714,280
1,0,1,000,0.29293428971885566,12129
1,0,1,001,0.9743589743589743,585
1,0,1,010,0.7262996941896025,1962
1,0,1,011,1.425,600
1,0,1,100,0.5686847599164927,4790
1,0,1,101,1.271186440677966,708
1,0,1,110,1.08130081300813,1722
1,0,1,111,1.6850921273031825,597
1,0,2,000,0.11483739837398374,9840
1,0,2,001,0.37549407114624506,1012
1,0,2,010,0.33513097072419107,2596
1,0,2,011,0.5971830985915493,710
1,0,2,100,0.265650406504065,4920
1,0,2,101,0.45384615384615384,1040
1,0,2,110,0.5062413314840499,2163
1,0,2,111,0.9118825100133512,749
1,1,0,000,0.4947960149162353,17967
1,1,0,001,1.4830508474576272,118
